2015-07-15 16:20:01			INFO		Starting Server


2015-07-15 16:30:02			INFO		Starting Server


2015-07-15 16:40:02			INFO		Starting Server


2015-07-15 16:50:01			INFO		Starting Server


2015-07-15 17:00:01			INFO		Starting Server


2015-07-15 17:10:01			INFO		Starting Server


2015-07-15 17:18:48	Client: dredger1;2015-07-15 17:17:55;0;Close;0;Close;0;0;Off;0;0;Off;0x8;0x9;0x0;0x0
2015-07-15 17:18:48	Packet: 2015-07-15 17:17:55
2015-07-15 17:19:34	Client: dredger1;2015-07-15 17:19:10;0;Close;0;Close;0;0;Off;0;0;Off;0x8;0x8;0x0;0x0
2015-07-15 17:19:34	Packet: 2015-07-15 17:19:10
2015-07-15 17:20:01			INFO		Starting Server


2015-07-15 17:20:20	Client: dredger1;2015-07-15 17:19:56;0;Close;0;Close;0;0;Off;0;0;Off;0x8;0x8;0x0;0x0
2015-07-15 17:20:20	Packet: 2015-07-15 17:19:56
2015-07-15 17:21:06	Client: dredger1;2015-07-15 17:20:42;0;Close;0;Close;0;0;Off;0;0;Off;0x8;0x8;0x0;0x0
2015-07-15 17:21:06	Packet: 2015-07-15 17:20:42
2015-07-15 17:21:51	Client: dredger1;2015-07-15 17:21:28;0;Close;0;Close;0;0;Off;0;0;Off;0x8;0x8;0x0;0x0
2015-07-15 17:21:51	Packet: 2015-07-15 17:21:28
2015-07-15 17:22:37	Client: dredger1;2015-07-15 17:22:12;0;Close;0;Close;0;0;Off;0;0;Off;0x8;0x8;0x0;0x0
2015-07-15 17:22:37	Packet: 2015-07-15 17:22:12
2015-07-15 17:23:24	Client: dredger1;2015-07-15 17:23:01;0;Close;0;Close;0;0;Off;0;0;Off;0x8;0x8;0x0;0x0
2015-07-15 17:23:24	Packet: 2015-07-15 17:23:01
2015-07-15 17:24:10	Client: dredger1;2015-07-15 17:23:48;0;Close;0;Close;0;0;Off;0;0;Off;0x8;0x8;0x0;0x0
2015-07-15 17:24:10	Packet: 2015-07-15 17:23:48
2015-07-15 17:24:56	Client: dredger1;2015-07-15 17:24:34;0;Close;0;Close;0;0;Off;0;0;Off;0x8;0x8;0x0;0x0
2015-07-15 17:24:56	Packet: 2015-07-15 17:24:34
2015-07-15 17:25:42	Client: dredger1;2015-07-15 17:25:19;0;Close;0;Close;0;0;Off;0;0;Off;0x8;0x8;0x0;0x0
2015-07-15 17:25:42	Packet: 2015-07-15 17:25:19
2015-07-15 17:26:28	Client: dredger1;2015-07-15 17:26:05;0;Close;0;Close;0;0;Off;0;0;Off;0x8;0x8;0x0;0x0
2015-07-15 17:26:28	Packet: 2015-07-15 17:26:05
2015-07-15 17:27:14	Client: dredger1;2015-07-15 17:26:51;0;Close;0;Close;0;0;Off;0;0;Off;0x8;0x8;0x0;0x0
2015-07-15 17:27:14	Packet: 2015-07-15 17:26:51
2015-07-15 17:28:00	Client: dredger1;2015-07-15 17:27:38;0;Close;0;Close;0;0;Off;0;0;Off;0x8;0x8;0x0;0x0
2015-07-15 17:28:00	Packet: 2015-07-15 17:27:38
